#period	period time	calc time
1	8230	2010
2	3757	1257
3	3757	5004
4	5992	4016
5	5254	1994
6	4239	1516
7	3743	1260
8	4015	1996
9	4015	5248
10	5988	1995
11	3998	1749
12	4253	1497
13	3994	1500
14	3989	1500
15	3758	1499
16	3987	1758
17	3987	313590
18	315077	3252
19	315077	8496
20	9748	2239
21	4235	1755
22	3753	1258
23	3753	4255
24	4752	2754
25	4500	1492
26	3992	1748
27	3992	5245
28	6750	1246
29	3235	1754
30	3995	1522
31	4007	1508
32	4000	1498
33	4244	1505
34	3746	1509
35	3999	2008
36	3999	5253
37	5999	2508
38	3990	1770
39	3990	316344
40	318326	3255
41	4998	1499
42	3747	1496
43	3992	1758
44	3991	1747
45	4009	1498
46	3749	1743
47	3749	4985
48	6242	2256
49	3749	1487
50	3987	1761
51	3987	5261
52	6504	1990
53	6504	5507
54	6246	2491
55	3506	2487
56	3986	1748
57	3996	1501
58	3996	1503
59	4004	1495
60	3745	1740
61	3745	4993
62	6247	2002
63	3746	1259
64	3746	328314
65	3746	331833
66	333055	4258
67	5750	2017
68	4246	1757
69	4249	2002
70	4249	5253
71	4249	8000
72	8995	2236
73	3990	1749
74	4001	1501
75	3995	1521
76	3997	1525
77	4003	1496
78	3743	1745
79	3743	4992
80	6237	2249
81	3752	1498
82	3995	1763
83	3995	321094
84	323323	1775
85	323323	5002
86	323323	8490
87	9744	1765
88	9744	4754
89	6002	1739
90	3997	2000
91	3997	5236
92	6743	1504
93	4498	749
94	4498	4002
95	4746	2491
96	3984	2009
97	3984	5013
98	6010	1997
99	6010	5266
100	6743	2021
101	3737	1510
102	4004	1507
103	3998	1503
104	3998	308340
105	310573	1998
106	310573	6014
107	310573	8990
108	9996	1757
109	9996	4999
110	6246	2000
111	3747	1751
112	4258	1479
113	3736	1491
114	3736	5000
115	5756	2493
116	3989	1500
117	3739	1523
118	3756	1505
119	4499	1252
120	3997	1252
121	3997	4499
122	6753	1486
123	6753	4741
124	5733	2000
125	5733	306846
126	308835	1995
127	308835	5987
128	7244	2741
129	4982	1518
130	3753	1512
131	3998	1992
132	3998	5260
133	6250	2247
134	3994	2012
135	4240	1500
136	4017	1490
137	4017	4487
138	4017	7487
139	8231	2251
140	4005	1486
141	3984	1532
142	4008	1252
143	3999	1250
144	3999	4498
145	5498	2498
146	3993	1501
147	3993	312067
148	314566	2250
149	314566	6013
150	314566	9501
151	10246	4529
152	5246	4249
153	4996	2501
154	3999	1749
155	3996	1500
156	3741	1498
157	3769	1739
158	3769	4974
159	5982	2249
160	3996	1506
161	3996	4503
162	6006	1995
163	3496	1748
164	3996	1498
165	3985	1504
166	4244	1283
167	4007	315846
168	318568	2502
169	318568	6018
170	6734	3003
171	5766	1744
172	5487	1754
173	5487	5006
174	6240	1760
175	4002	1755
176	4006	1499
177	3744	1254
178	3739	1999
179	3739	5510
180	6253	2256
181	3997	1257
182	3750	2002
183	3750	5000
184	6251	1990
185	3986	1251
186	3986	310572
187	312320	1745
188	3756	1765
189	4246	1496
190	3748	1755
191	3748	4994
192	6490	1504
193	3998	1500
194	3998	4499
195	6488	1503
196	4002	1256
197	4002	4511
198	5500	1750
199	4249	1499
200	4249	4747
201	6254	1991
202	6254	5239
203	6738	2000
204	3489	1753
205	4006	1494
206	3999	1506
207	4247	336826
208	339555	2742
209	339555	7006
210	8497	1740
211	3997	1752
212	3997	4743
213	3997	7750
214	9246	2002
215	3995	1253
216	3995	4252
217	5499	1994
218	3744	1757
219	3999	1751
220	3999	5004
221	5748	2733
222	3984	2019
223	3984	5270
224	6500	2507
225	3997	1743
226	4251	1499
227	4251	4743
228	4251	317315
229	319318	3005
230	319318	6502
231	7248	2494
232	4247	1502
233	4247	1502
234	3747	1486
235	3992	1503
236	4001	1487
237	3989	1519
238	3752	1516
239	4003	1511
240	3997	1750
241	3743	1250
242	3743	4754
243	5497	2510
244	3496	4008
245	5249	1991
246	4253	1495
247	3739	1502
248	3739	338337
249	340308	2989
250	5503	1993
251	5503	5491
252	6987	2001
253	3503	1739
254	3503	5005
255	5994	2499
256	3995	1501
257	3997	1502
258	3999	1501
259	3996	1501
260	4247	1516
261	3740	1499
262	4002	1502
263	3999	1508
264	3740	1260
265	3752	1250
266	4009	1500
267	3742	1503
268	3996	331848
