#signal	response time
0	2277
1	2921
2	2422
3	1674
4	1713
5	2669
6	1923
7	1924
8	1923
9	1918
10	1938
11	1923
12	1920
13	1938
14	1921
15	1931
16	1927
17	1923
18	1926
19	1924
20	1928
21	1921
22	1922
23	1924
24	1927
25	1923
26	1926
27	1925
28	2685
29	2184
30	1931
31	1926
32	1928
33	1928
34	1957
35	1924
36	2173
37	2176
38	3915
39	2435
40	1921
41	1434
42	2422
43	2236
44	1927
45	1926
46	1928
47	1924
48	1938
49	1914
50	1942
51	1924
52	1928
53	1931
54	1960
55	1712
56	1669
57	2430
58	2429
59	1933
60	1662
61	1720
62	1915
63	1930
64	1928
65	1927
66	1478
67	2418
68	1966
69	1922
70	1699
71	1684
72	2444
73	2167
74	1931
75	1924
76	1932
77	1954
78	1927
79	1925
80	1931
81	1935
82	1921
83	1935
84	1914
85	1932
86	1929
87	1928
88	1928
89	1919
90	1930
91	1920
92	1959
93	1945
94	1930
95	1924
96	1923
97	1932
98	1916
99	1925
100	1683
101	1674
102	2435
103	1937
104	1916
105	1961
106	1444
107	2665
108	1927
109	1926
110	1922
111	2676
112	1925
113	1934
114	1925
115	1680
116	1674
117	1937
118	1923
119	1926
120	1683
121	1921
122	1931
123	1928
124	1937
125	1918
126	1926
127	1925
128	1927
129	1928
130	1925
131	1927
132	1930
133	1935
134	1919
135	1925
136	1679
137	2190
138	1682
139	2175
140	1733
141	1664
142	2923
143	1710
144	1915
145	1929
146	1929
147	1925
148	1968
149	1911
150	1943
151	1945
152	1938
153	1930
154	1936
155	1920
156	1930
157	1919
158	1934
159	1927
160	1917
161	1696
162	1672
163	2684
164	1928
165	1920
166	1922
167	1934
168	1917
169	1927
170	1928
171	1680
172	1919
173	1930
174	1674
175	2179
176	1430
177	2679
178	1926
179	1922
180	1936
181	1927
182	1927
183	1937
184	1923
185	1927
186	1702
187	1934
188	2195
189	1916
190	1928
191	1927
192	1938
193	1924
194	1913
195	1203
196	2662
197	1928
198	1732
199	1664
200	2437
201	1454
202	2429
203	1930
204	1928
205	1678
206	1690
207	2417
208	1927
209	1426
210	2428
211	1431
212	2431
213	1917
214	1703
215	2417
216	1924
217	1929
218	1934
219	1935
220	1922
221	1930
222	1934
223	1920
224	1922
225	1942
226	1929
227	1923
228	1936
229	1918
230	1926
231	1934
232	1927
233	1929
234	1926
235	1935
236	1918
237	1925
238	1670
239	1688
240	2421
241	1431
242	2413
243	1936
244	1673
245	1673
246	2431
247	1928
248	1680
249	1672
250	2674
251	1945
252	1911
253	1933
254	1927
255	1928
256	1934
257	1928
258	1908
259	1958
260	1927
261	1930
262	1930
263	1922
264	1925
265	1929
266	1918
267	1929
268	1920
269	1925
270	1677
271	1671
272	2431
273	1915
274	1935
275	1673
276	1680
277	2433
278	2173
279	1922
280	1925
281	1933
282	1920
283	1922
284	1922
285	1922
286	1925
287	1928
288	1665
289	1697
290	2435
291	1926
292	1932
293	1678
294	1922
295	1682
296	1923
297	1675
298	2684
299	1671
300	1689
301	1923
302	1670
303	2669
304	1932
305	1672
306	1680
307	1939
308	2472
309	1924
310	1678
311	1675
312	2194
313	2428
314	1928
315	1678
316	1430
317	2417
318	1683
319	1671
320	2430
321	1430
322	1684
323	2915
324	1915
325	1688
326	1684
327	1924
328	2435
329	1924
330	1675
331	1678
332	1673
333	2934
334	1934
335	1667
336	1691
337	2179
338	1926
339	1915
340	1426
341	2183
342	2178
343	1930
344	1922
345	1426
346	2427
347	1928
348	1922
349	1429
350	2426
351	1423
352	2683
353	1921
354	1929
355	1920
356	1929
357	1926
358	1919
359	1929
360	1926
361	1924
362	1918
363	1933
364	1927
365	1688
366	1669
367	1684
368	2670
369	1922
370	1680
371	1684
372	2433
373	1921
374	1937
375	1921
376	1431
377	1920
378	2441
379	1918
380	1434
381	2183
382	1929
383	2425
384	1934
385	1922
386	1927
387	1930
388	1685
389	1418
390	2424
391	1436
392	2670
393	1684
394	1424
395	2686
396	1665
397	1675
398	2420
399	1928
400	1694
401	1673
402	1677
403	2678
404	1931
405	1705
406	1692
407	2419
408	1928
409	1927
410	1430
411	2423
412	1929
413	1922
414	1682
415	2185
