#period	period time	calc time
1	3240	1000
2	3248	1249
3	2747	750
4	3004	1498
5	3250	1244
6	2993	1246
7	3242	1501
8	2999	1276
9	2753	1504
10	2999	1498
11	2994	1249
12	2998	1247
13	2996	1251
14	3245	1263
15	2753	1250
16	2997	1250
17	3247	1250
18	2751	1248
19	2995	1250
20	3248	1500
21	2997	1254
22	2749	1251
23	3247	1500
24	2998	1251
25	2994	1504
26	3001	1501
27	3000	1249
28	2747	1251
29	3248	1500
30	2996	1501
31	2749	1252
32	3248	1500
33	2747	1251
34	3248	1250
35	2748	1251
36	3250	1498
37	3245	1252
38	2498	1252
39	3249	1500
40	2997	1502
41	2747	1253
42	3249	1498
43	2996	1505
44	2999	1501
45	2990	1505
46	3003	1501
47	3002	1250
48	2997	1500
49	2998	1502
50	2997	1751
51	2999	1499
52	2998	1499
53	2995	1502
54	3000	1499
55	2997	1500
56	2997	1501
57	2997	1252
58	2998	1503
59	2999	1500
60	2998	1750
61	2996	1501
62	2749	1250
63	3249	1500
64	2996	1500
65	2997	1501
66	2998	1500
67	2998	1253
68	2998	1501
69	2996	1502
70	2998	1768
71	2998	1502
72	2999	1500
73	2996	2255
74	2998	1501
75	2998	1501
76	2997	1503
77	2998	1252
78	3248	1251
79	2748	1501
80	2997	1751
81	3000	1500
82	2996	1502
83	2998	1501
84	2998	1501
85	2988	1512
86	3007	1251
87	3248	1501
88	2747	1502
89	2999	1501
90	3000	1749
91	2997	1502
92	2996	1501
93	3248	1252
94	2748	1503
95	2998	1502
96	2998	1501
97	3246	1253
98	2748	1502
99	3250	1249
100	2996	1254
101	2998	1502
102	2748	1505
103	2997	1515
104	3000	1495
105	2995	1253
106	2995	1251
107	3251	1501
108	2751	1498
109	2994	1252
110	2997	1503
111	2999	1501
112	3000	1250
113	2996	1252
114	3246	1502
115	2748	1501
116	2999	1249
117	3249	1499
118	2746	1501
119	2999	1250
120	2998	1500
121	2997	1503
122	2998	1251
123	2998	1251
124	3247	1501
125	2747	1502
126	3000	1243
127	3248	1249
128	2747	1250
129	2997	1263
130	2998	1502
131	2998	1247
132	2999	1246
133	3001	1247
134	3243	1252
135	2740	1259
136	3005	1259
137	3249	1252
138	2753	1247
139	2994	1252
140	2996	1500
141	2996	1261
142	3002	1250
143	3002	1247
144	3245	1248
145	2745	1250
146	3005	1246
147	3242	1256
148	2749	1252
149	2997	1251
150	2997	1501
151	3007	1243
152	2992	1250
153	3000	1245
154	3240	1261
155	2751	1250
156	3004	1244
157	3240	1261
158	2750	1250
159	2997	1250
160	3246	1496
161	3000	1246
162	2744	1260
163	3251	1499
164	2996	1251
165	2749	1249
166	3003	1247
